id,date,state_name,state_code,commodity_group,sector,cpi,inflation_rate
0,2014-01-01,All India,0,Cereals And Products,Combined,119.6,10.33
2157,2014-02-01,All India,0,Cereals And Products,Combined,120.2,8.88
4314,2014-03-01,All India,0,Cereals And Products,Combined,120.7,8.35
6471,2014-04-01,All India,0,Cereals And Products,Combined,120.9,8.33
8628,2014-05-01,All India,0,Cereals And Products,Combined,121.1,7.84
10785,2014-06-01,All India,0,Cereals And Products,Combined,121.5,6.77
12942,2014-07-01,All India,0,Cereals And Products,Combined,122.4,6.62
15099,2014-08-01,All India,0,Cereals And Products,Combined,122.7,6.14
17256,2014-09-01,All India,0,Cereals And Products,Combined,122.9,5.58
19413,2014-10-01,All India,0,Cereals And Products,Combined,123.2,5.21
21570,2014-11-01,All India,0,Cereals And Products,Combined,123.3,4.4
23727,2014-12-01,All India,0,Cereals And Products,Combined,122.9,3.19
25884,2015-01-01,All India,0,Cereals And Products,Combined,123.4,3.18
28041,2015-02-01,All India,0,Cereals And Products,Combined,123.7,2.91
30198,2015-03-01,All India,0,Cereals And Products,Combined,123.5,2.32
32355,2015-04-01,All India,0,Cereals And Products,Combined,123.5,2.15
34512,2015-05-01,All India,0,Cereals And Products,Combined,123.6,2.06
36669,2015-06-01,All India,0,Cereals And Products,Combined,123.9,1.98
38826,2015-07-01,All India,0,Cereals And Products,Combined,123.7,1.06
40983,2015-08-01,All India,0,Cereals And Products,Combined,124.2,1.22
43140,2015-09-01,All India,0,Cereals And Products,Combined,124.6,1.38
45297,2015-10-01,All India,0,Cereals And Products,Combined,125.0,1.46
47454,2015-11-01,All India,0,Cereals And Products,Combined,125.4,1.7
49611,2015-12-01,All India,0,Cereals And Products,Combined,125.7,2.28
51768,2016-01-01,All India,0,Cereals And Products,Combined,126.1,2.19
53925,2016-02-01,All India,0,Cereals And Products,Combined,126.4,2.18
56082,2016-03-01,All India,0,Cereals And Products,Combined,126.5,2.43
58239,2016-04-01,All India,0,Cereals And Products,Combined,126.6,2.51
60396,2016-05-01,All India,0,Cereals And Products,Combined,126.8,2.59
62553,2016-06-01,All India,0,Cereals And Products,Combined,127.7,3.07
64710,2016-07-01,All India,0,Cereals And Products,Combined,128.5,3.88
66867,2016-08-01,All India,0,Cereals And Products,Combined,129.3,4.11
69024,2016-09-01,All India,0,Cereals And Products,Combined,129.9,4.25
71181,2016-10-01,All India,0,Cereals And Products,Combined,130.5,4.4
73338,2016-11-01,All India,0,Cereals And Products,Combined,131.4,4.78
