"id","year","state_code","state_name","route_length","total_track"
0,"2012-2013",28,"Arunachal Pradesh",5322,9941
1,"2012-2013",12,"Assam",1,3
2,"2012-2013",18,"Bihar",2459,3525
3,"2012-2013",10,"Chhatisgarh",3656,6595
4,"2012-2013",22,"Delhi",1196,2625
5,"2012-2013",7,"Goa",183,699
6,"2012-2013",30,"Gujarat",69,98
7,"2012-2013",24,"Haryana",5257,7388
8,"2012-2013",6,"Himachal Pradesh",1630,2973
9,"2012-2013",2,"Jammu and Kashmir",296,357
10,"2012-2013",1,"Jharkhand",256,421
11,"2012-2013",20,"Karnataka",2113,5319
12,"2012-2013",29,"Kerala",3228,4822
13,"2012-2013",32,"Madhya Pradesh",1050,2012
14,"2012-2013",23,"Andhra Pradesh",4955,9146
15,"2012-2013",27,"Maharashtra",5725,10928
16,"2012-2013",14,"Manipur",1,3
17,"2012-2013",15,"Mizoram",2,5
18,"2012-2013",13,"Nagaland",13,24
19,"2012-2013",21,"Odisha",2507,4855
20,"2012-2013",3,"Punjab",2215,3386
21,"2012-2013",8,"Rajasthan",5872,8364
22,"2012-2013",33,"Tamil Nadu",4027,6235
23,"2012-2013",16,"Tripura",151,193
24,"2012-2013",5,"Uttarakhand",345,556
25,"2012-2013",9,"Uttar Pradesh",8832,14943
26,"2012-2013",19,"West Bengal",4037,10325
27,"2012-2013",4,"Chandigarh",16,66
28,"2012-2013",34,"Puducherry",22,26
29,"2013-2014",28,"Andhra Pradesh",3593,7040
30,"2013-2014",12,"Arunachal Pradesh",12,23
31,"2013-2014",18,"Assam",2468,3543
32,"2013-2014",10,"Bihar",3639,6762
33,"2013-2014",22,"Chhatisgarh",1197,2625
34,"2013-2014",7,"Delhi",183,699
35,"2013-2014",30,"Goa",69,98
36,"2013-2014",24,"Gujarat",5259,7458
37,"2013-2014",6,"Haryana",1630,2996
38,"2013-2014",2,"Himachal Pradesh",296,357
39,"2013-2014",1,"Jammu and Kashmir",273,445
40,"2013-2014",20,"Jharkhand",2182,5660
41,"2013-2014",29,"Karnataka",3281,4970
42,"2013-2014",32,"Kerala",1050,2013
43,"2013-2014",23,"Madhya Pradesh",4976,9190
44,"2013-2014",27,"Maharashtra",5725,10924
45,"2013-2014",14,"Manipur",1,3
46,"2013-2014",15,"Mizoram",2,5
47,"2013-2014",13,"Nagaland",13,24
48,"2013-2014",21,"Odisha",2516,4886
49,"2013-2014",3,"Punjab",2269,3443
50,"2013-2014",8,"Rajasthan",5870,8392
51,"2013-2014",33,"Tamil Nadu",4027,6258
52,"2013-2014",36,"Telangana",1753,2908
53,"2013-2014",16,"Tripura",151,193
54,"2013-2014",5,"Uttarakhand",345,518
55,"2013-2014",9,"Uttar Pradesh",8920,15048
56,"2013-2014",19,"West Bengal",4070,10192
57,"2013-2014",4,"Chandigarh",16,66
58,"2013-2014",34,"Puducherry",22,26
59,"2014-2015",28,"Andhra Pradesh",3657,7033
60,"2014-2015",12,"Arunachal Pradesh",12,23
61,"2014-2015",18,"Assam",2471,3540
62,"2014-2015",10,"Bihar",3652,6732
63,"2014-2015",22,"Chhatisgarh",1196,2646
64,"2014-2015",7,"Delhi",183,699
65,"2014-2015",30,"Goa",69,98
66,"2014-2015",24,"Gujarat",5259,7701
67,"2014-2015",6,"Haryana",1630,3001
68,"2014-2015",2,"Himachal Pradesh",296,358
69,"2014-2015",1,"Jammu and Kashmir",298,485
70,"2014-2015",20,"Jharkhand",2294,5816
71,"2014-2015",29,"Karnataka",3281,5028
72,"2014-2015",32,"Kerala",1050,2009
73,"2014-2015",23,"Madhya Pradesh",4979,9208
74,"2014-2015",27,"Maharashtra",5725,10988
75,"2014-2015",14,"Manipur",1,3
76,"2014-2015",17,"Meghalaya",9,13
77,"2014-2015",15,"Mizoram",2,5
78,"2014-2015",13,"Nagaland",13,24
79,"2014-2015",21,"Odisha",2529,4941
80,"2014-2015",3,"Punjab",2269,3510
81,"2014-2015",8,"Rajasthan",5898,8499
82,"2014-2015",33,"Tamil Nadu",4027,6369
83,"2014-2015",36,"Telangana",1676,2969
84,"2014-2015",16,"Tripura",151,193
85,"2014-2015",5,"Uttarakhand",345,518
86,"2014-2015",9,"Uttar Pradesh",8950,15029
87,"2014-2015",19,"West Bengal",4070,10466
88,"2014-2015",4,"Chandigarh",16,66
89,"2014-2015",34,"Puducherry",22,26
90,"2015-2016",28,"Andhra Pradesh",3703,7132
